id,definition
lateral cutaneous branch of medial branch of posterior ramus of second thoracic nerve,
fifth lateral lumbar intertransversarius,
accessory medullary lamina of right globus pallidus,
muscular branch of medial branch of posterior ramus of seventh cervical nerve,
left oral pontine reticular nucleus,
straight line sign,"Clear division between diffuse high metabolism of peritoneum and normal metabolism of retroperitoneum, seen on sagittal PET images, suggesting diffuse peritoneal metastasis."
brodmann area 9 of medial frontal gyrus,
retroperitoneal fibrosis,"A slowly progressive condition of unknown etiology, characterized by deposition of fibrous tissue in the retroperitoneal space compressing the ureters, great vessels, bile duct, and other structures. When associated with abdominal aortic aneurysm, it may be called chronic periaortitis or inflammatory perianeurysmal fibrosis. [MeSH]"
c7 segment of posterior spinocerebellar tract,
internal surface of isthmus of uterus,
trochanter of femur,
femoral triangle part of surface of left psoas major,
wall of rectum,
nerve to fourth dorsal interosseous of right hand,
gray matter of right anterior cingulate gyrus,
t1 segment of right nucleus proprius of spinal cord,
left second posterior cervical intertransversarius,
nerve to tensor veli palatini,
anterior vagal trunk,
medulla of nodulus,
proximal metaphysis of proximal phalanx of left index finger,
lateral part of right basal amygdaloid nucleus,
nucleus of ventral field of subthalamus,
mesovarium,
brodmann area 7 of anterior segment of right paracentral lobule,
right lateral funiculus of medulla oblongata,
trunk of buccal nerve,
nerve to first dorsal interosseous of left hand,
anterior surface of stomach,
spondylitis,Inflammation of the vertebrae. This includes both arthritic and non-arthritic conditions. [MeSH]
trunk of branch of temporal branch of facial nerve to orbicularis oculi,
c7 segment of nucleus proprius of spinal cord,
spinal trigeminal tract of medulla,
anterior wall of rectum,
neuronal component of medulla oblongata,
gray matter of left precentral gyrus of insula,
horizontal long axis,
sulcus sign,"Linear echo between the main or right portal vein and the gall bladder on an ultrasound, representing the main lobar fissure. Indicates location of gallbladder when gallbladder is not visible in a fasting patient."
right sixth posterior cervical intertransversarius,
right submedial nucleus,
ceramic surgical implement,"Products made by baking or firing nonmetallic minerals (clay and similar materials). In making dental restorations or parts of restorations the material is fused porcelain. (From McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed & Boucher's Clinical Dental Terminology, 4th ed) [MeSH]"
t7 segment of dorsal thoracic nucleus,
brodmann area 30 of right posterior cingulate gyrus,
left serratus posterior superior,
neuronal component of gray matter of S5 segment,
hepatovenous segment VI,
proximal tendon of right gracilis,
regurgitation,
medial zone of inferior part of body of left scapula,
middle pre-aortic lymph node,
left episcleral artery,
RID28641,"A Radlex disjoined term contains 2 (or more) Radlex entities joined by ""or""."
frons,The forehead
lateral branch of posterior ramus of sixth thoracic nerve,
nucleus of origin of right eighth thoracic spinal nerve,
inferior dental plexus,
posterior zone of diaphysis of left tibia,
lateral branch of posterior ramus of right second thoracic nerve,
t3 segment of right dorsal thoracic nucleus,
adventitia of thoracic part of esophagus,
posterior ramus of left fifth cervical nerve,
left ventral anterior nucleus,
nonpatent,
olfactory trigone,
precentral fissure,
mucosal gland of prostate,
paracolic lymphatic chain,
right arcuate nucleus of hypothalamus,
lateral cord segment of sixth cervical nerve,
articular cartilage of distal epiphysis of left humerus,
water contrast,
internal surface of posterior wall of body of uterus,
c7 branch to right semispinalis capitis,
external granular layer of left Brodmann area 8,
nasal conduit,
t6 branch to left multifidus,
right popliteus,
mixed enhancement pattern,
t7 segment of right dorsal funiculus of spinal cord,
right gastric lymphatic chain,
internal surface of ureter,
wall of fimbria of left uterine tube,
cortex of left hemisphere of posterior lobe of cerebellum,
peroneal tubercle,
extensor pollicis longus tendon,
recurrent branch of right ophthalmic artery,
muscle body of left extensor digiti minimi,
left superior olivary complex,
zirconium,"Zirconium. A rather rare metallic element, atomic number 40, atomic weight 91.22, symbol Zr. (From Dorland, 28th ed) [MeSH]"
deep temporal artery,
fibroblastic osteosarcoma,
nerve to second levator costae,
nerve to left depressor anguli oris,
pyloric stenosis,
ultrasound,The visualization of deep structures of the body by recording the reflections of echoes of pulses of ultrasonic waves directed into the tissues. Use of ultrasound for imaging or diagnostic purposes employs frequencies ranging from 1.6 to 10 megahertz. [MeSH]
nerve to left cuneonavicular joint,
cerebellar cortex,
proximal metaphysis of left second metacarpal bone,
lamina VII of gray matter of spinal cord,
distal tendon of left gastrocnemius,
muscle body of extensor carpi radialis longus,
atlantoaxial ligament,
right patella,
nerve to extensor digitorum brevis,
thalamic fasciculus,
cingular branch of right callosomarginal artery,
odontoma,"A mixed tumor of odontogenic origin, in which both the epithelial and mesenchymal cells exhibit complete differentiation, resulting in the formation of tooth structures. (Jablonski, Illustrated Dictionary of Dentistry, 1982) [MeSH]"
proximal zone of left vastus lateralis,
nucleus proprius of cervical segment of right dorsal gray column of spinal cord,
surface of L2 segment,
left superior laryngeal nerve,
plagiocephaly,"A condition in which the top of the head is pointed, with a vertical index above 77."
phrenicosplenic ligament,
trunk of left fourth lumbar nerve,
peripheral segment of left long thoracic nerve,
connective tissue of serosa of small intestine,
papillary cystadenocarcinoma,An adenocarcinoma in which the tumor elements are arranged as finger-like processes or as a solid spherical nodule projecting from an epithelial surface. [MeSH]
medial branch of posterior ramus of right fifth cervical nerve,
band of neuraxis,
vasculature of body part subdivision,
scleral spur of trabecular tissue,
sublingual salivary gland,
middle part of left kidney,
compression repair of pseudoaneurysm,
diaphysis of phalanx of big toe,
muscle body of right subclavius,
PreImageConsult,Discussion with ordering physician for selection of appropriate exam
Hill-Sachs deformity,
left dorsolateral fasciculus,
ionic high-osmolality monomeric iodinated contrast agent,
root of right medial pectoral nerve,
c7 root of left median nerve,
trunk of right maxillary nerve,
trunk of facial nerve,
connective tissue of serosa of right hemiliver,
lateral patellar segment of tendon of left vastus lateralis,
amiculum of left dentate nucleus,
trigeminal impression,
trunk of branch of mental nerve,
right fibularis brevis,
right hippocampus proper,
peritoneal surface of left kidney,
root of left radial nerve,
trunk of branch of left masseteric nerve to left temporomandibular joint,
infraorbital nerve,
peripheral segment of inferior gluteal nerve,
superficial part of anterior compartment of forearm,
phrenic nerve proper,
subdivision of neck,
dura mater of anterior rootlet of left second lumbar nerve,
GeneralAnesthesiaEnded,
conoid ligament,
trunk of right vestibular nerve,
medial branch of palmar branch of left median nerve,
set of vertebrae,
posterior surface of long head of triceps brachii,
tendon of flexor digiti minimi brevis of foot,
interstitial gland of ovary,
external granular layer of primary motor cortex,
abuts capsule of prostate,
nerve to right seventh anterior cervical intertransversarius,
cardiac impression on diaphragmatic surface of liver,
radial nerve component of trunk proper of anterior ramus of eighth cervical nerve,
set of lateral supraclavicular nerves,
germ cell neoplasm,
conjunctival sac,
l2 root of right femoral nerve,
internal granular layer of left Brodmann area 38,
plantar cuneocuboid ligament,
nerve root,
peritoneum of posterior fornix of vagina,
central venous catheter lumen obstruction,
nerve to right midcarpal joint,
epispadias repair,
nerve to levator palpebrae superioris,
tendon of right abductor hallucis,
skin proper of dorsal part of toe,
RoomOpened,
fifth lumbar artery,
left medial patellomeniscal ligament,
muscle body of extensor pollicis brevis,
diaphragmatic surface of left lobe of liver,
serosa of urinary bladder,
branch of right greater palatine nerve to gingiva,
posterior labial nerve,
internal granular layer of left Brodmann area 6,
c5 root of right dorsal scapular nerve,
Furosemide,
trunk of lingual branch of left glossopharyngeal nerve to left vallate papillae,
trunk of anterior division of anterior ramus of right fifth cervical nerve,
cell group F,
vasculature of gray matter of cervical subsegment of spinal cord,
lateral branch of superficial radial nerve,
proximal metaphysis of right ulna,
distal zone of right vastus medialis,
tumor invasion of external urethral sphincter,Tumor extension into the external urethral sphincter.
proximal tendon of gastrocnemius,
rootlet of fifth thoracic nerve,
deep musculature of perineum,
internal pyramidal layer of left Brodmann area 2,
levator scapulae branch of dorsal scapular nerve,
sheath of styloid process,
RID13271,
clumped enhancement,BI-RADS MRI: cobblestone enhancement or varying shapes and sizes with occasional confluent areas
peripheral segment of right fifth sacral spinal nerve,
skin of medial part of right second toe,
s5 segment of marginal zone of dorsal gray column of spinal cord,
tertiary follicle of right ovary,
cavity of calcarine spur,
right lateral paragigantocellular nucleus,
metaphysis of third metatarsal bone,
whalebone-in-a-corset sign,"Gastric lesion bows outward with internal pressure like a whalebone in a corset. Does not rule out malignancy, even though most malignant ulcers are rigid."
posterior region of glenoidal rim of scapula,
wall of isthmus of uterine tube,
white matter of right posterior long insular gyrus,
uterine paracervical lymph node,
internal pyramidal lamina of right Brodmann area 7,
t5 branch to right semispinalis capitis,
trunk of right sixth thoracic nerve,
vasculature of gray matter of T2 segment,
intercostal artery,
submucosa of fundus of stomach,
muscle body of right semitendinosus,
adventitia of ureter,
set of male pelvic viscera,
dura mater of posterior root of left seventh cervical nerve,
Ebstein anomaly,Ebstein anomaly is a congenital heart defect in which the opening of the tricuspid valve is displaced towards the apex of the right ventricle of the heart.
carotid cavernous fistula,"Laceration of the intracavernous portion of the carotid artery or one of its intracavernous branches resulting in a direct communication between the internal carotid artery and the cavernous sinus. Clinically, this produces a pulsatile exophthalmus and a marked limitation of extraocular motion in the affected eye. craniocerebral trauma, especially basilar skull fractures (skull fracture, basilar) is the most common cause of this condition, but it may also occur spontaneously or in association with diseases featuring defective connective tissue, such as ehlers-danlos syndrome. (Adams et al., Principles of Neurology, 6th ed, p877) [MeSH]"
right subscapular fossa,
IRMaterialUsage,IR Techs id equipment used during the procedure (and serial numbers where necessary)
anterior root of right tenth thoracic nerve,
IV push infusion,
base of gastric gland,
radial nerve component of posterior root of left eighth cervical nerve,
lateral surface of tendon of long head of left triceps brachii,
Medusa head sign,"Small veins radially arranged around and drain into a larger vein on an MR image of the head, typically in the juxtacortical and periventricular zones of the frontal and parietal lobes. Suggests developmental venous anomaly."
occipital pole proper,
lumen of pelvic part of right ureter,
anterior wall of stomach,
dorsal decubitus position,
medial branch of posterior ramus of left fourth lumbar nerve,
growth rate disorder,
segment of cell part cluster of neuraxis,
right Brodmann area 28,
meningohypophyseal trunk,
left submandibular gland,
preganglionic segment of posterior root of first sacral spinal nerve,
set of head veins,
medial branch of third thoracic ganglion,
surface of infundibulum of uterine tube,
inferior subscapular nerve component of posterior root of right sixth cervical nerve,
mesothelium of serosa of right hemiliver,
dorsal tributary of left second lumbar vein,
interosseous intercuneiform ligament,
lateral cutaneous tributary of ventral tributary of fourth lumbar vein,
head of right infraspinatus,
ear-nose-throat disorder,
c7 dorsal column nucleus of left thoracodorsal nerve,
left splenius capitis,
middle trunk of left brachial nerve plexus,
right medial oculomotor nucleus,
c6 segment of marginal zone of right dorsal gray column of spinal cord,
diaphysis of phalanx of finger,
neuroglial network of white matter of pons,
chemical shift of first kind,Signals from protons with different resonant frequencies are mismapped in the frequency encoding direction. The mismapping may occur in the readout direction (within a slice) or slice encoding direction (between slices in a 2D acquisition)
tenth thoracic rotator,
scaphotrapeziotrapezoid joint,
trunk of branch of inferior anal nerve,
thoracic duct,Lymphatic trunk that connects all tributaries of the thoracic duct tree to the trunk of the left brachiocephalic vein. Examples: There is only one thoracic duct tree.
dura mater of posterior rootlet of left fourth lumbar nerve,
gradient echo,
diaphysis of right second metacarpal bone,
left Brodmann area 22,
left median artery,
cutaneous branch of lateral branch of dorsal branch of lumbar artery,
radial nerve component of anterior root of sixth cervical nerve,
l3 posterior division of lumbar plexus,
surface of left parietal lobe,
external surface of left uterine tube proper,
refocusing of all gradients,Refocusing of all gradients within one TR interval (balanced steady state free precession)
border sign,"Sign to distinguish colonic polyp from diverticulum.  In longitudinal view, polyp has well-defined inner but indistinct outer border, whereas diverticulum has well-defined outer border but indistinct inner border."
gray matter of right cingulate gyrus,
superior subscapular nerve component of superior trunk segment of right sixth cervical nerve,
right sixth thoracic rotator,
right costocervical artery,
left lentiform nucleus,
brodmann area 39 of right precuneus,
tendon of left palmaris longus,
retrotrigeminal nucleus,
left temporal lobe,
meyer loop of left optic radiation,
trunk of branch of spinal nerve,
deep limb of inferior extensor retinaculum,
dura mater of posterior rootlet of third sacral nerve,
right first lumbar artery,
postganglionic segment of posterior root of right third sacral spinal nerve,
juxta-ileal lymph node group,
wall of heart,"Wall of organ which has as its parts the endocardium, myocardium , epicardium, and the cardiac septum, surrounded by the pericardial sac proper and is continuous with the walls of the systemic and pulmonary arterial and venous trees."
temporal smoothing,
left sartorius,
vasculature of diencephalon,
head region of muscle body of right semitendinosus,
anastomotic leak,
right superior occipitofrontal fasciculus,
lateral part of substantia nigra,
meningeal branch of left second lumbar nerve,
descending branch of meningeal branch of right seventh cervical nerve,
subserosa of region of liver,
l2 branch to right iliocostalis lumborum,
c8 ventral column nucleus of right radial nerve,
inferolateral surface of urinary bladder,
anterior branch of lateral cutaneous branch of eighth intercostal nerve,
upper lobe of left lung,
right sacral sympathetic trunk,
coccygeal segment of left substantia gelatinosa,
plexiform layer of Brodmann area 28,
30m post,
foramen of Winslow hernia,
belly of fourth lumbrical of hand,
rootlet of left second cervical nerve,
white matter of right inferior parietal lobule,
posterior root of right eighth cervical nerve,
eosinophilic gastritis,
organ region cluster,"Organ part cluster, which consists of some members of two or more organ subdivision subclasses which are grouped together according to some shared attributes. Examples: root of lung, neurovascular bundle, renal pedicle, fascia of back."
right frontal lobe proper,
posterior ventrolateral nucleus of thalamus,
Hounsfield unit calculation,
left trochlear nerve,
pectoralis minor branch of right medial pectoral nerve (2),
cerebral cingulum,
descending branch of meningeal branch of left third cervical nerve,
intermediate lumbar lymphatic vessel,
distal epiphysis of right ulna,
mesothelium of serosa of small intestine,
preganglionic segment of posterior root of left fourth sacral spinal nerve,
gray matter of segment of cerebellum,
hepatic wedge excision,
plexiform layer of right Brodmann area 1,
plexiform layer of Brodmann area 6,
set of left corticospinal fibers,
right iliocostalis,
lateral nail fold of right second toe,
communicating branch of left third intercostal nerve,
lateral branch of dorsal branch of right first lumbar artery,
gray matter of dorsal part of precentral gyrus,
nodule-like arterial phase hyperenhancement,"[LIRADS] < 20mm nodule-like enhancement that appears only in the arterial phase and with none of the following: “washout”, “capsule”, ancillary features that favor HCC."
left anterior corticospinal tract of spinal cord,
nucleus of spinal cord,"Nucleus of neuraxis which is located within the spinal cord. Example: dorsal nucleus of Clarke, Intermediolateral nucleus."
lumen of cardia of stomach,
superficial head of right flexor pollicis brevis,
l2 segment of left ventral gray column of spinal cord,
branch of common cochlear artery,
left primary motor cortex,
periductal stroma of prostatic gland,
sulcal segment of gyrus of right cingulate gyrus,
adventitia of subdivision of major calyx,
l4 root of left obturator nerve,
ulnar recurrent artery,
pericardial branch of right musculophrenic artery,
RID28872,
central segment of left great auricular nerve,
lateral tectobulbar tract,
third occipital nerve,
external granular layer of cerebral cortex,
cervical segment of spinal dura mater,
anterior surface of supraspinal part of body of left scapula,
facet region of medial condyle of tibia,
subareolar region of right breast,
intervertebral disc degeneration,
facet block,
t12 segment of right ventral gray column of spinal cord,
lateral cutaneous branch of medial branch of posterior ramus of left ninth thoracic nerve,
ciliary muscle,
external surface of left uterine tube,
selenium,"An element with the atomic symbol Se, atomic number 34, and atomic weight 78.96. It is an essential micronutrient for mammals and other animals but is toxic in large amounts. Selenium protects intracellular structures against oxidative damage. It is an essential component of glutathione peroxidase. [MeSH]"
muscle layer of right uterine tube,
right flexor digitorum profundus,
left greater occipital nerve,
anteromedial band of left anterior cruciate ligament,
kyphosis,"Abnormally increased convexity in the curvature of the thoracic spine as viewed from the side. (Dorland, 27th ed) [MeSH]"
nail bed of left big toe,
thallium,"A heavy, soft, bluish white metal, atomic number 81, atomic weight 204.37, symbol Tl. (From Dorland, 28th ed) [MeSH]"
medial pectoral nerve component of trunk of left first thoracic nerve,
long posterior sacroiliac ligament,
white matter of left short insular gyrus,
branch of posterior muscular branch of left radial nerve to medial head of left triceps brachii,
central segment of nerve to right sternocleidomastoid,
multiform layer of left Brodmann area 40,
known,
superior subscapular nerve component of posterior root of fifth cervical nerve,
pneumoconiosis,"Condition characterized by permanent deposition of substantial amounts of particulate matter in the lungs, usually of occupational or environmental origin, and by the tissue reaction to its presence. [MeSH]"
black pleura sign,"Pleura appears as a lucent line between ribs and dense lungs on a radiograph, suggesting alveolar calcification due to microlithiasis or hyperparathyroidism."
nerve to right ninth internal intercostal muscle,
stem of temporal lobe,
surface of right coraco-acromial ligament,
branch of left mylohyoid nerve to anterior belly of left digastric,
interstitial nucleus of vestibular nerve,
neural network of organ,
nerve to antitragicus,
posterior ramus of right third sacral nerve,
hypersensitivity angiitis,"Heterogeneous group of disorders characterized by a vasculitic syndrome presumed to be associated with a hypersensitivity reaction following exposure to an antigen such as an infectious agent, a drug, or other foreign or endogenous substance (Wilson et al, Harrison's Principles of Internal Medicine, 12th ed, p1459). [MeSH]"
brodmann area 47 of right insula,
RID9519,
neural network of left lobe of prostate,
left segment of caudate lobe of liver,
sacral subsegment of spinal cord,
fourth digit,
lumen with a lumen sign,Intramural extravasation of contrast is seen in addition to filling of bowel lumen. Suggests ischemic colitis with mucosal sloughing.
supramammillary nucleus,
cutaneous branch of lateral branch of posterior ramus of left ninth thoracic nerve,
branch of eighth intercostal nerve to transversus abdominis,
vastus medialis muscle,
medial pectoral nerve component of trunk of anterior division of anterior ramus of right first thoracic nerve,
pyelitis cystica,
left inferior alveolar nerve,
right commissural nucleus of spinal cord,
t10 segment,
ependymal cyst,
neural network of skeletal system,
right primary auditory cortex,
zygomatic margin of sphenoid bone,
surface of segment of telencephalon,
long head of right biceps femoris,
portal triad subsegment,Subsegment of liver demarcated by intrahepatic distribution of hepatic artery and biliary ducts.
spinal branch of lumbar artery,
clavicular branch of right internal thoracic artery,
T1/T2,
superior anterior division segment of C5 root of left median nerve,
PACS error,
anterodorsal nucleus,
l5 anterior division of left lumbar plexus,
oral airway,
inferior epigastric lymph node,
reverse rim sign,Hypoattenuating renal cortex with normal medulla on contrast-enhanced CT. Suggests cortical necrosis.
muscular branch of lateral branch of dorsal branch of right first lumbar artery,
mucosa of rectum,
posterior fascicle of palatopharyngeus muscle,
medial pectoral nerve component of trunk of anterior ramus of eighth cervical nerve,
ventral part of central lobule,
trunk of right median nerve,
left coracobrachialis,
mucosa of region of jejunum,
rectus capitus posterior major muscle,
lateral angle of eye,
anterior rootlet of right third thoracic nerve,
s3 segment of right lateral corticospinal tract,
mesentery of small intestine,
initial enhancement phase,BI-RADS MRI: Enhancement pattern within the first 2 minutes or when curve starts to change
notch of spleen,
trunk of upper branch of left internal laryngeal nerve to laryngeal vestibule,
right lateral geniculate body,
branch of dental nerve plexus,
t6 branch to left iliocostalis thoracis,
inferior mesenteric lymphatic vessel,
articular capsule of right knee joint,
quadratus femoris muscle,
aggressive,
root of splenorenal ligament,
terminal sulcus of tongue,
trunk of branch of femoral nerve,
dorsal nucleus of left vagus nerve,
middle transverse fold of rectum,
corticopontine tract,
neural tissue of L5 segment of spinal cord,
trunk of left greater petrosal nerve,
rootlet of spinal nerve,
vasculature of back of abdomen,
septum of endoabdominal fascia,
internal granular layer of Brodmann area 23,
distal end of left femur,
gray matter of right gyrus descendens of Ecker,
trunk of branch of left external laryngeal nerve to pharyngeal nerve plexus,
proximal myotendinous region of medial head of left gastrocnemius,
proximal epiphysis of proximal phalanx of left index finger,
right ulnar artery,
right middle macular vein,
lateral head of fourth dorsal interosseous of left hand,
liquid,
trunk of left cochlear nerve,
subdivision of trigonal muscle of urinary bladder,
intra-articular segment of tendon of long head of biceps brachii,
t7 branch to right multifidus,
medial segment of parietal lobe,
superior vermian branch of medial branch of left superior cerebellar artery,
cerebellar peduncle,
terminal part of left brachial artery,
k-space dimensionality,
segment of skeletal ligament,
area of origin of left trapezoid ligament,
l5 segment of right dorsal gray column of spinal cord,
pyramidal decussation segment of right corticospinal tract,
right medial longitudinal fasciculus of pons,
branch of left musculocutaneous nerve to long head of left biceps brachii,
white matter of right paraterminal gyrus,
homogeneous marked T2 hyperintensity,"[LIRADS] Having homogeneous and markedly higher signal intensity than liver at T2w imaging.  (Generic definition uses ""background"" instead of ""liver"".)"
surface papilla,
vestibulocochlear organ,
sphincter urethrovaginalis branch of perineal nerve,
trunk of quadriceps femoris branch of left femoral nerve,
gray matter of left anterior short insular gyrus,
second dorsal digital branch of radial nerve,
medial compartment of thigh,
branch of musculocutaneous nerve,
aortopulmonary window,"A congenital anomaly in which there is abnormal communication between the ascending aorta and pulmonary artery just above the semilunar valves. [MeSH]
Anatomy.—The aortopulmonary window is the mediastinal region bounded anteriorly by the ascending aorta, posteriorly by the descending aorta, cranially by the aortic arch, inferiorly by the left pulmonary artery, medially by the ligamentum arteriosum, and laterally by the pleura and left lung (15,16). 
Radiographs and CT scans.—Focal concavity in the left mediastinal border below the aorta and above the left pulmonary artery can be seen on a frontal radiograph (Fig 5). Its appearance may be modified by tortuosity of the aorta. The aortopulmonary window is a common site of lymphadenopathy in a variety of inflammatory and neoplastic diseases.  [Fleischner Society]"
lateral dorsal digital nerve of fourth toe,
muscle layer of right hepatic duct,
l1 segment of left dorsal gray column of spinal cord,
ventral corticospinal tract of spinal cord,
anterior body wall of female human body,
thoracic segment of female trunk,
musculocutaneous nerve,"A major nerve of the upper extremity. The fibers of the musculocutaneous nerve originate in the lower cervical spinal cord (usually C5 to C7), travel via the lateral cord of the brachial plexus, and supply sensory and motor innervation to the upper arm, elbow, and forearm. [MeSH]"
bulbospongiosus branch of right perineal nerve,
surface proper of right sartorius,
proximal myotendinous region of long head of left biceps brachii,
superior region of left breast,
destruction pattern,
deep part of palpebral part of orbicularis oculi muscle,
l1 segment of substantia gelatinosa,
ligament of naviculocuneiform joint,
supraclavicular part of left brachial nerve plexus,
trunk of left radial nerve,
variant ansa thyroidea,
tissue component of lamellar bone,
musculocutaneous nerve component of trunk of left seventh cervical nerve,
RID7402,
posterior division of right first intercostal nerve,
hypothalamohypophysial tract,
pontine vein,
articular segment of lateral condyle of femur,
segment of median nerve nucleus of dorsal column,
subgenual frontal cortex,
triangular fossa of antihelix,
subdivision of nucleus of neuraxis,
trunk of left fifth intercostal nerve,
eventration,
c6 branch to left longissimus cervicis,
fourth interspinalis lumborum,
step and shoot data acquisition mode,
postganglionic segment of posterior root of left fourth lumbar spinal nerve,
superior frontal sulcus,
mucosa of anterior intermediate minor calyx,
multiform layer of right Brodmann area 15,
surface of ovary,
varus deformity,
neuroglial network of white matter of coccygeal segment of spinal cord,
dura mater of posterior rootlet of right twelfth thoracic nerve,
brodmann area 9 of superior frontal gyrus,
coeliac branch of posterior vagal trunk,
continuous table to detector-head translation,
fusion plate,
right superior olivary nucleus,
right psoas major,
trunk of second intercostal nerve,
set of caroticotympanic nerves,
intrapleural,administration within the pleura.
cavernous plexus of turbinate,
left interspinalis thoracis,
superior labial vein,
coarse heterogeneous,
brodmann area 4 of posterior segment of left paracentral lobule,
set of anterior cutaneous branches of femoral nerve,
postganglionic segment of posterior root of first lumbar spinal nerve,
trunk of vaginal branch of right inferior rectal nerve,
dilation and curettage,Dilatation of the cervix uteri followed by a scraping of the endometrium with a curette. [MeSH]
posterior zone of neck of scapula,
inferior labial branch of facial artery,
ligament of lower limb,
root of fourth sacral nerve,
mechanical thrombectomy,
stroma of right ovary,
skin of dorsum of foot,
neuroglial network of T6 segment of spinal cord,
external pyramidal layer of right Brodmann area 22,
t10 segment of left lateral gray column of spinal cord,
duodenum,The shortest and widest portion of the small intestine adjacent to the pylorus of the stomach. It is named for having the length equal to about the width of 12 fingers. [MeSH]
dura mater of anterior root of left seventh thoracic nerve,
vein of semicircular duct,
orifice of stomach,
RID1873,
zone of flexor digitorum superficialis,
peripheral segment of fourth cervical spinal nerve,
circumferential enhancement,
mucosa of right anterior inferior minor calyx,
external pyramidal layer of left Brodmann area 16,
multiform layer of left Brodmann area 22,
fourth dorsal digital branch of right radial nerve,
c6 branch to right splenius capitis,
mesentery of zone of small intestine,
tendon of long head of left biceps femoris,
endopyelotomy,
left mammillary artery,
right glenoid labrum,
pharyngeal branch of left recurrent laryngeal nerve,
lateral pectoral nerve branch of anterior division of anterior ramus of left sixth cervical nerve,
root of seventh cervical nerve,
seminal colliculus,
serendipity view,
lateral head of third dorsal interosseous of hand,
left subdeltoid bursa,
left superior semilunar lobule,
nerve to extensor carpi ulnaris,
segment of artery,
endolymphatic sac tumor,locally invasive papillary adenoid tumor of the middle ear that may extend into the cerebellopontine angle
deep layer of proximal nail fold of left big toe,
medial brachial cutaneous nerve component of inferior trunk segment of first thoracic nerve,
recurrent branch of common peroneal nerve,
subserosa of anterior wall of duodenum,
left subscapularis,
RID27563,
blood disease,
proximal part of diaphysis of left humerus,
skin of sole of left foot,
frontal eye fields,
ascending branch of meningeal branch of left tenth thoracic nerve,
branch of suprascapular nerve to acromioclavicular joint joint,
whole body,
quadrant,
anteromedian medullary vein,
astrocytoma WHO grade II,
triangular fovea of arytenoid cartilage,
root of right third cervical nerve,
wall of collicular part of prostatic urethra,
RID12877,
RID12971,destroy disease by using heat or cold
isthmus of cartilaginous auricle,
trunk of cervical branch of right facial nerve,
eponychium of right third toe,
trunk of left lateral femoral cutaneous nerve,
c8 dorsal column nucleus of right median nerve,
medial surface of medial scalenus medius,
ventral posterolateralal nucleus,
medial supraclavicular nerve,
posterior segment of right uncus,
ureteral fold,
suprascapular nerve component of trunk of anterior ramus of sixth cervical nerve,
infectious complication,
pre-brachial plexus segment of T1 component of median nerve,
superior pubic ramus,
c6 root of left lower subscapular nerve,
neural network of bony part of first metatarsal bone,
otitis externa,"Inflammation of the external auditory canal. (Dorland, 27th ed) [MeSH]"
inverted U sign,"Dilated redundant loop of colon that forms an inverted U shape, possibly extending to the diaphragm. Suggests sigmoid volvulus."
right infracolic space,
4 o’clock position,
branch of anterior ramus of second sacral nerve,
parrot beak tear,
adventitia of right superior major calyx,
medial surface of right cerebral hemisphere,
communicating branch of auricular branch of right vagus nerve with right facial nerve,
recording electrode,
lateral branch of posterior ramus of left second sacral nerve,
carcinoma,"A malignant neoplasm made up of epithelial cells tending to infiltrate the surrounding tissues and give rise to metastases. It is a histological type of neoplasm but is often wrongly used as a synonym for """"cancer."""" (From Dorland, 27th ed) [MeSH]"
cardiac tamponade,
mandible,The largest and strongest bone of the face constituting the lower jaw. It supports the lower teeth. [MeSH]
communicating branch of left glossopharyngeal nerve with left chorda tympani,
trunk of branch of right recurrent laryngeal nerve to right lateral crico-arytenoid,
posterior long insular gyrus,
posterior cord segment of C6 root of inferior subscapular nerve,
hyperperfusion,
polymicrogyria,
branch of anterior ramus of sacral nerve,
anatomical line of long bone,
central segment of fourth thoracic spinal nerve,
inferior orbital vein,
endocardium,"The innermost layer of the heart, comprised of endothelial cells. [MeSH]"
inferior posterior division of brachial plexus,
dorsal thoracic nucleus,
circumaortic,
neural network of bony part of left fourth metatarsal bone,
inferior subscapular nerve component of trunk proper of anterior ramus of fifth cervical nerve,
clover-leaf skull,Intrauterine premature fusion (craniosynostosis) of all sutures except squamosal.
persistent embryonic trigeminal artery,
nerve to right fourth medial lumbar intertransversarius,
caudate lobe branch of right hepatic artery,
left second lateral lumbar intertransversarius,
surface of superior transverse scapular ligament,
pre-brachial plexus segment of C5 component of median nerve,
left deep transverse metacarpal ligament,
right coccygeal spinal ganglion,
malignant otitis externa,
plexiform layer of left Brodmann area 48,
head region of muscle body of right rectus femoris,
transverse occipital sulcus,
Harris view,
drowned hilus sign,Fluid collection surrounds the vessels of the splenic hilum on an intercostal ultrasound following splenic trauma. Suggests hemoperitoneum.
iliac fascia,
left uncus,
soft,
carpal sign,"Angle between two lines, one tangent to the scaphoid and lunate and the other tangent to the triquetrum and lunate, is less than 117ø, rather than the usual 130ø. Suggests gonadal dysgenesis."
suspicious calcification,
thick wall sign,"Lucent renal mass with a thick opaque border. Suggest mass is not benign cyst; typically, mass is a necrotic avascular carcinoma, but may also be benign tumor, perirenal necrotic abcess, or infected cyst."
superior angle of left scapula,
right fourth medial lumbar intertransversarius,
vagal reaction complication,
ulnar deviation position,
adductor hallucis muscle,
internal granular layer of right Brodmann area 47,
zone of dense endoabdominal fascia,
