,id,parentId
24397,collateral branch of right eighth intercostal nerve,collateral branch of eighth intercostal nerve
24398,lateral root trunk segment of C7 root of median nerve,segment of C7 root of median nerve
24399,RID13844,Obsolete Radlex Term
24400,medial branch of dorsal branch of left fourth lumbar artery,medial branch of dorsal branch of fourth lumbar artery
24401,RID35346,Obsolete Radlex Term
24402,breast,region of pectoral part of chest
24403,brodmann area 38 of right temporal lobe,brodmann area 38 of temporal lobe
24404,parvocellular part of lateral reticular nucleus,subdivision of lateral reticular nucleus
24405,hiatal hernia,hernia
24406,nerve to left auricularis anterior,nerve to auricularis anterior
24407,head region of muscle body of biceps femoris,head region of muscle body
24408,anterior rootlet of left third sacral nerve,anterior rootlet of third sacral nerve
24409,nerve to eighth external intercostal muscle,muscular branch of eighth intercostal nerve
24410,trunk of gluteal branch of posterior femoral cutaneous nerve,trunk of branch of posterior femoral cutaneous nerve
24411,nerve to latissimus dorsi,branch of thoracodorsal nerve
24412,basal segmental bronchus,segmental bronchus
24413,belly of right transversus abdominis,belly of transversus abdominis
24414,right subcostal nerve,subcostal nerve
24415,branch of medial pectoral nerve to clavicular part of pectoralis major,branch of medial pectoral nerve
24416,amorphous calcification,suspicious calcification
24417,atretic follicle of right ovary,atretic follicle of ovary
24418,descending branch of meningeal branch of left coccygeal nerve,descending branch of meningeal branch of coccygeal nerve
24419,t11 branch to iliocostalis lumborum,muscular branch of lateral branch of posterior ramus of eleventh thoracic nerve
24420,cavity of bulb of occipital horn of right lateral ventricle,cavity of bulb of occipital horn of lateral ventricle
24421,white matter of angular gyrus,white matter of gyrus of parietal lobe
24422,lateral common iliac lymph node,common iliac lymph node
24423,proximal epiphysis of right fifth metatarsal bone,proximal epiphysis of fifth metatarsal bone
24424,hepatic trisegmentectomy,liver surgery
24425,lateral branch of anterior cutaneous branch of left subcostal nerve,lateral branch of anterior cutaneous branch of subcostal nerve
24426,c2 segment,cervical subsegment of spinal cord
24427,multiform layer of left Brodmann area 26,multiform layer of Brodmann area 26
24428,dentate gyrus of right hippocampus,dentate gyrus of hippocampus
24429,posterolateral ramus of posterior diaphragmatic branch of right phrenic nerve,posterolateral ramus of posterior diaphragmatic branch of phrenic nerve
24430,left second lumbar splanchnic nerve,second lumbar splanchnic nerve
24431,radial nerve component of trunk of left fifth cervical nerve,radial nerve component of trunk of fifth cervical nerve
24432,trunk of right sixth intercostal nerve,trunk of sixth intercostal nerve
24433,rubella,infection
24434,tendon of left popliteus,popliteus tendon
24435,brodmann area 2 of postcentral gyrus,segment of Brodmann area 2
24436,concentric,orientation descriptor
24437,left first lumbar nerve,first lumbar nerve
24438,gray matter of cerebellar tonsil,gray matter of segment of cerebellum
24439,vagal part of accessory nerve,branch of spinal accessory nerve
24440,cubital tunnel syndrome,entrapment syndrome
24441,neural network of left ankle,neural network of ankle
24442,brodmann area 47 of right paraterminal gyrus,brodmann area 47 of paraterminal gyrus
24443,radiography procedure attribute,imaging procedure property
24444,anterior mediastinum,subdivision of mediastinum
24445,inferior subscapular nerve component of trunk of posterior division of anterior ramus of sixth cervical nerve,segment of C6 root of inferior subscapular nerve
24446,proximal epiphysis of right first metatarsal bone,proximal epiphysis of first metatarsal bone
24447,sternoclavicular disc,articular disk of synovial joint
24448,preganglionic segment of posterior root of third lumbar spinal nerve,preganglionic segment of posterior root of lumbar spinal nerve
24449,surface of lumbar part of abdomen,subdivision of surface of posterior part of abdomen
24450,postlaminar branch of dorsal branch of fourth lumbar artery,postlaminar branch of dorsal branch of lumbar artery
24451,trunk of medial proper plantar digital nerve of little toe,trunk of proper plantar digital nerve of little toe
24452,lateral cutaneous tributary of ventral tributary of lumbar vein,tributary of lumbar vein
24453,left seventh anterior intercostal artery,seventh anterior intercostal artery
24454,neuroglial network of gray matter of pons,neuroglial network of gray matter of segment of brain
24455,right psoas minor,psoas minor muscle
24456,functional area of transverse occipital sulcus,functional area of brain
24457,pockets-of-gas sign,imaging sign
24458,right greater splanchnic nerve,greater thoracic splanchnic nerve
24459,set of adrenal vessels,set of blood vessels
24460,gray matter of transverse temporal gyrus,gray matter of gyrus of temporal lobe
24461,small bowel closed-loop obstruction,closed-loop obstruction
24462,deep musculature of male perineum,deep musculature of perineum
24463,postganglionic segment of posterior root of left first lumbar spinal nerve,postganglionic segment of posterior root of first lumbar spinal nerve
24464,aberrant cervical spinal ganglion,variant cervical spinal ganglion
24465,pars vascularis of jugular foramen,cranial conduit space
24466,prostatic part of left inferior gluteal artery,prostatic part of inferior gluteal artery
24467,spine degeneration,musculoskeletal degeneration
24468,medial zone of hypothalamus,zone of hypothalamus
24469,anaplastic ependymoma,ependymal tumor
24470,proximal zone of left iliotibial tract,proximal zone of iliotibial tract
24471,medial branch of left hepatic duct,segment of biliary tree
24472,t1segment of substantia gelatinosa,thoracic subsegment of substantia gelatinosa
24473,left sciatic nerve,sciatic nerve
24474,posterior surface of body of right scapula,posterior surface of body of scapula
24475,obturator lymphatic vessel,external iliac lymphatic vessel
24476,anterior cochlear nucleus,cochlear nucleus
24477,bone pathophysiologic process descriptor,pathophysiologic process descriptor
24478,external muscle of eye,muscle of face
24479,cerebrovascular disease,body-system-specific disorder
24480,left superficial middle cerebral vein,superficial middle cerebral vein
24481,head of tenth rib,head of rib
24482,osmium,chemical element
24483,nerve to long head of left triceps brachii,nerve to long head of triceps brachii
24484,diaphragmatic branch of phrenic nerve,branch of phrenic nerve
24485,right oral pulvinar nucleus,oral pulvinar nucleus
24486,ureteral,anatomically-related descriptor
24487,pericardial branch of pericardiacophrenic artery,pericardiacophrenic artery
24488,embolization coil,embolic material
24489,lateral branch of left pontine artery,lateral branch of pontine artery
24490,synovial cavity of right glenohumeral joint,synovial cavity of glenohumeral joint
24491,branch of subcostal nerve to external oblique,muscular branch of subcostal nerve
24492,medial tributary of left hepatic biliary tree,segment of left hepatic biliary tree
24493,right coracobrachialis branch of brachial artery,coracobrachialis branch of brachial artery
24494,left lateral occipital artery,P3 segment of posterior cerebral artery
24495,notch for ligamentum teres,anatomical line of liver
24496,external longitudinal muscle layer of isthmus of right uterine tube,external longitudinal muscle layer of isthmus of uterine tube
24497,gastric branch of left vagus nerve,gastric branch of vagus nerve
24498,posterior meningeal artery,meningeal branch of ascending pharyngeal artery
24499,nerve to left extensor carpi radialis brevis,nerve to extensor carpi radialis brevis
24500,lateral head of first dorsal interosseous of hand,head of first dorsal interosseous of hand
24501,pancreatic transplantation,pancreas surgery
24502,superior subscapular nerve component of trunk of anterior ramus of fifth cervical nerve,segment of C5 root of superior subscapular nerve
24503,proximal phalanx of finger,phalanx of finger
24504,anterior wall of uterus,wall of zone of uterus
24505,inferior anterior division segment of T1 root of right medial antebrachial cutaneous nerve,inferior anterior division segment of T1 root of medial antebrachial cutaneous nerve
24506,gray matter of anterior long insular gyrus,gray matter of long insular gyrus
24507,capsule of left subthalamic nucleus,capsule of subthalamic nucleus
24508,region of wall of ureter,region of organ component
24509,first dorsal metacarpal artery,branch of radial artery
24510,midbrain segment of corticospinal tract,segment of corticospinal tract of brain
24511,gray communicating ramus of right second sacral nerve,gray communicating ramus of second sacral nerve
24512,Spalding sign,imaging sign
24513,pyelitis,inflammation
24514,PI-RADS 2 - T2WI TZ Low,PI-RADS T2WI TZ Lesion Assessment Category
24515,mammillothalamic tract of thalamus,thalamic tract
24516,head of right pectoralis major,head of pectoralis major
24517,optic foramen,cranial conduit space
24518,communicating branch of right lingual nerve with right hypoglossal nerve,communicating branch of lingual nerve with hypoglossal nerve
24519,right rectus femoris,rectus femoris muscle
24520,brodmann area 38 of left middle temporal gyrus,brodmann area 38 of middle temporal gyrus
24521,deep cervical ansa,branch of peripheral nerve
24522,tela choroidea proper of lateral ventricle,region of wall of lateral ventricle
24523,glandular columnar epithelium,simple columnar epithelium
24524,tendon of coracobrachialis,tendon
24525,tendon of right levator palpebrae superioris,tendon of levator palpebrae superioris
24526,RID28738,Obsolete Radlex Term
24527,set of cervical spine vessels,set of spine vessels
24528,thoracic intervertebral level,intervertebral level descriptor
24529,lacrimal pathway,anatomical passageway
24530,right Brodmann area 12,Brodmann area 12
24531,posterior radicular branch of spinal branch of left second lumbar artery,posterior radicular branch of spinal branch of second lumbar artery
24532,neural network of lower lobe of right lung,neural network of lower lobe of lung
24533,orbital surface of sphenoid bone,subdivision of surface of sphenoid
24534,nucleus of origin of left twelfth thoracic spinal nerve,nucleus of origin of twelfth thoracic spinal nerve
24535,ovarian fimbria of uterine tube,zone of uterine tube
24536,brodmann area 19 of fusiform gyrus,segment of Brodmann area 19
24537,corona ciliaris,region of ciliary body
24538,l3 segment of left lateral corticospinal tract,l3 segment of lateral corticospinal tract
24539,stroma of anterior lobe of prostate,stroma of lobe of prostate
24540,back of thorax,subdivision of back of trunk
24541,epithelium of transverse colon,epithelium of region of large intestine
24542,posterior wall of cervix of uterus,posterior wall of zone of uterus
24543,muscle layer of abdominal part of esophagus,muscle layer of segment of esophagus
24544,MR tissue contrast attribute,MR procedure attribute
24545,deep white layer of left superior colliculus,deep white layer of superior colliculus
24546,l3 root of left obturator nerve,l3 root of obturator nerve
24547,anterior radicular branch of spinal branch of left lumbar artery,anterior radicular branch of spinal branch of lumbar artery
24548,anterior nuclear group of right thalamus,anterior nuclear group of thalamus
24549,occipital branch of right posterior auricular nerve,occipital branch of posterior auricular nerve
24550,nerve to right superior pharyngeal constrictor,nerve to superior pharyngeal constrictor
24551,t4 segment of left substantia gelatinosa,t4 segment of substantia gelatinosa
24552,head of right radius,head of radius
24553,tributary of left inferior petrosal sinus from pons,tributary of inferior petrosal sinus from pons
24554,anterior temporal diploic vein,diploic vein
24555,ala of nose,subdivision of nose
24556,bone mineralization disorder,bone disorder
24557,variant root of spinal nerve,nerve root
24558,rubropontine tract,tract of brain
24559,taenia mesocolica,taenia coli
24560,Chassard Lapine view,named imaging view
24561,nerve to left extensor pollicis longus,nerve to extensor pollicis longus
24562,branch to right greater occipital nerve,branch to greater occipital nerve
24563,pheochromocytoma,neoplasm
24564,left coronary ligament,coronary ligament
24565,lateral segment of left lobe of liver,segment of left lobe proper of liver
24566,posterior branch of axillary nerve,branch of axillary nerve
24567,mucosa of urinary bladder,mucosa
24568,trunk of right external laryngeal branch to right superior cervical sympathetic ganglion,trunk of external laryngeal branch to superior cervical sympathetic ganglion
24569,heterogeneously dense,high density
24570,median sulcus of tongue,anatomical line
24571,c4 segment of dorsal gray column of spinal cord,cervical subsegment of dorsal gray column of spinal cord
24572,at rest,patient state
24573,time of flight artifact,flow-related artifact
24574,non-peritoneal surface of uterus,region of surface of uterus
24575,articular branch of posterior ramus of left eleventh thoracic nerve,articular branch of posterior ramus of eleventh thoracic nerve
24576,distal region of left brachialis,distal zone of brachialis
24577,diaphysis of phalanx of hand,diaphysis
24578,mucosa of left major calyx,mucosa of major calyx
24579,small bowel transplantation,small bowel surgery
24580,right anterior prostatic lymphatic tree,anterior prostatic lymphatic tree
24581,t6 segment of right lateral corticospinal tract,t6 segment of lateral corticospinal tract
24582,thoracodorsal nerve component of trunk of right eighth cervical nerve,thoracodorsal nerve component of trunk of eighth cervical nerve
24583,pancreaticobiliary system,subdivision of alimentary system
24584,RID12298,RID12295
24585,ureterectomy,ureter surgery
24586,right inferior temporal retinal vein,inferior temporal retinal venule
24587,skin of ankle,subdivision of skin of free lower limb
24588,sialography,imaging procedure
24589,focal asymmetry,asymmetry
24590,trunk of right superior laryngeal nerve,trunk of superior laryngeal nerve
24591,gray matter of right thalamus,gray matter of thalamus
24592,osteoarthritis,arthritis
24593,collapsed,morphologic descriptor
24594,distal metaphysis of proximal phalanx of left thumb,distal metaphysis of proximal phalanx of thumb
24595,lateral branch of artery of right tuber cinereum,lateral branch of artery of tuber cinereum
24596,vertical occipital fasciculus,fasciculus of brain
24597,nerve to right semimembranosus (1),nerve to semimembranosus (1)
24598,postoperative,post-procedure
24599,t4 segment of left ventral gray column of spinal cord,t4 segment of ventral gray column of spinal cord
24600,muscle body of quadriceps femoris,skeletal muscle body
24601,left gonadal vein,Obsolete Radlex Term
24602,flexion deformity,malposition
24603,branch of recurrent laryngeal nerve to inferior pharyngeal constrictor,branch of recurrent laryngeal nerve to muscle of larynx
24604,skin of anterior part of right leg,skin of anterior part of leg
24605,multiform layer of right Brodmann area 20,multiform layer of Brodmann area 20
24606,quadrilateral segment of trunk of right axillary nerve,quadrilateral segment of trunk of axillary nerve
24607,right scleral venous sinus,scleral venous sinus
24608,area of insertion of right rectus femoris,area of insertion of rectus femoris
24609,inferior anterior division segment of first thoracic nerve,segment of trunk of anterior division of anterior ramus of first thoracic nerve
24610,surface of cribriform area of renal papilla,region of internal surface of kidney
24611,radial nerve branch of posterior division of anterior ramus of left fifth cervical nerve,radial nerve branch of posterior division of anterior ramus of fifth cervical nerve
24612,right half of hypothalamus,segment of hypothalamus
24613,mammary branch of axillary artery,branch of subclavian artery
24614,taenia mesocolica of sigmoid colon,taenia coli of sigmoid colon
24615,medial inguinal fossa (space),inguinal fossa (space)
24616,anterior compartment of thigh,compartment of free lower limb
24617,laminae albae,segment of white matter of neuraxis
24618,c7 segment of substantia gelatinosa,cervical subsegment of substantia gelatinosa
24619,small orbit sign,imaging sign
24620,medial part of left thigh,medial part of thigh
24621,head of first lumbrical of left hand,head of first lumbrical of hand
24622,infra-aortic area,mediastinal space
24623,posterior cord segment of C5 root of right superior subscapular nerve,posterior cord segment of C5 root of superior subscapular nerve
24624,lateral dorsal digital nerve of left second toe,lateral dorsal digital nerve of second toe
24625,pyramis of vermis of cerebellum,lobule of vermis
24626,optic canal,cranial conduit space
24627,labium minus branch of right posterior labial nerve,labium minus branch of posterior labial nerve
24628,serosa of transverse colon,serosa of segment of large intestine
24629,upper inner quadrant of right female breast,upper inner quadrant of breast
24630,medial vestibular nucleus,vestibular nucleus
24631,female body wall,body wall
24632,left subiculum,subiculum
24633,central segment of left ilioinguinal nerve,central segment of ilioinguinal nerve
24634,RID6542,Obsolete Radlex Term
24635,anterior root of right sixth cervical nerve,anterior root of sixth cervical nerve
24636,mucosa of duodenum,mucosa of zone of small intestine
24637,right popliteal fossa,popliteal fossa
24638,branch of median nerve to third lumbrical of hand,branch of median nerve to lumbrical of hand
24639,t3 branch to right semispinalis capitis,t3 branch to semispinalis capitis
24640,anterior branch of left great auricular nerve,anterior branch of great auricular nerve
24641,trunk of branch of upper deep buccal branch of right facial nerve to right zygomaticus major,trunk of branch of upper deep buccal branch of facial nerve to zygomaticus major
24642,Alzheimer disease,dementia
24643,anterior fascicle of palatopharyngeus muscle,zone of palatopharyngeus muscle
24644,ivory-like,pattern descriptor
24645,medial branch of posterior ramus of left second lumbar nerve,medial branch of posterior ramus of second lumbar nerve
24646,female breast proper,breast proper
24647,suprachiasmatic artery,branch of anterior communicating artery
24648,ileocecal junction,zone of continuity
24649,subdivision of mediastinum,compartment subdivision
24650,monosodium urate deposition,crystal deposition
24651,periprosthetic fracture,fracture
24652,mucosa of minor calyx,mucosa of region of ureter
24653,mcBurney point,anatomical point
24654,vertebral vein,subdivision of brachiocephalic vein
24655,medial cutaneous branch of medial branch of posterior ramus of left first thoracic nerve,medial cutaneous branch of medial branch of posterior ramus of first thoracic nerve
24656,suspensory ligament of ovary,mesentery
24657,region of gastrocolic ligament,region of visceral peritoneum
24658,neuroglial network of telencephalon,neuroglial network of segment of brain
24659,white matter of S3 segment of spinal cord,white matter of subdivision of sacral segment of spinal cord
24660,unequivocal,certainty descriptor
24661,set of lateral internal nasal branches of anterior ethmoidal nerve,set of nerves
24662,right posterior ethmoidal nerve,posterior ethmoidal nerve
24663,posterior root of ninth thoracic nerve,posterior root of thoracic nerve
24664,c3 root of phrenic nerve,root of phrenic nerve
24665,trunk of communicating branch of iliohypogastric nerve with ilioinguinal nerve,trunk of branch of iliohypogastric nerve
24666,Rieter arthritis,spondyloarthropathy
24667,paramedian medullary reticular complex,nuclear complex of neuraxis
24668,postganglionic segment of posterior root of tenth thoracic spinal nerve,postganglionic segment of posterior root of thoracic spinal nerve
24669,internal pyramidal lamina of left Brodmann area 14,internal pyramidal layer of Brodmann area 14
24670,radial collateral ligament of wrist,ligament of wrist joint
24671,superficial,location descriptor
24672,articular cartilage of distal epiphysis of humerus,articular cartilage of epiphysis of humerus
24673,right fifth interspinalis cervicis,fifth interspinalis cervicis
24674,communicating branch to posterior scrotal nerve,branch of inferior rectal nerve
24675,root of sigmoid mesocolon,root of mesentery
24676,inferior parietal lobule,gyrus of parietal lobe
24677,belly of adductor hallucis,muscle belly
24678,right pisometacarpal ligament,pisometacarpal ligament
24679,ascending branch of meningeal branch of left third thoracic nerve,ascending branch of meningeal branch of third thoracic nerve
24680,fetal growth,growth
24681,anterior wall of inferior part of lesser sac,region of wall of lesser sac
24682,internal pyramidal lamina of right Brodmann area 11,internal pyramidal layer of Brodmann area 11
24683,c4 root of supraclavicular nerve,root of supraclavicular nerve
24684,gastric branch of left gastro-epiploic artery,branch of left gastroepiploic artery
24685,right dorsal intercarpal ligament,dorsal intercarpal ligament
24686,root of third lumbar nerve,root of lumbar spinal nerve
24687,ligament of limb,skeletal ligament
24688,renal papilla of right kidney,papilla of kidney
24689,t3 segment of left lateral gray column of spinal cord,t3 segment of lateral gray column of spinal cord
24690,cingulate gyrus,gyrus of limbic lobe
24691,Lung-RADS 3,Lung-RADS assessment
24692,posterior profile projection,radiographic projection
24693,Fleischner line,imaging sign
24694,first tendon of left flexor digitorum brevis,first tendon of flexor digitorum brevis
24695,brodmann area 28 of right parahippocampal gyrus,brodmann area 28 of parahippocampal gyrus
24696,dura mater of anterior root of thoracic nerve,dura mater of anterior root of spinal nerve
24697,periosteum,membranous layer of organ wall
24698,lateral globus pallidus,subdivision of globus pallidus
24699,segment of C8 root of median nerve,segment of medial root of median nerve
24700,set of ovaries,set of organs
24701,supratrochlear artery,terminal branch of ophthalmic artery
24702,virchow inferior deep jugular node,internal jugular lymph node
24703,thalamic complex,organ component of neuraxis
24704,area of origin of posterior cruciate ligament,zone of medial condyle proper of femur
24705,continuous breathing maneuver,breathing maneuver
24706,pre-brachial plexus segment of T1 component of left median nerve,pre-brachial plexus segment of T1 component of median nerve
24707,external granular layer of right Brodmann area 50,external granular layer of Brodmann area 50
24708,metaphysis of right fifth metacarpal bone,metaphysis of fifth metacarpal bone
24709,ascending branch of meningeal branch of right seventh thoracic nerve,ascending branch of meningeal branch of seventh thoracic nerve
24710,chiasmatic branch of posterior communicating artery,branch of posterior communicating artery
24711,anterior zone of base of patella,zone of base of patella
24712,zone of diaphysis,zone of long bone
24713,comet tail sign,imaging sign
24714,distal metaphysis of left third metacarpal bone,distal metaphysis of third metacarpal bone
24715,parenchyma,organ component
24716,external pyramidal layer of Brodmann area 15,lamina of Brodmann area 15
24717,t1 segment of ventral gray column of spinal cord,thoracic subsegment of ventral gray column of spinal cord
24718,nerve to right thyroarytenoid,nerve to thyroarytenoid
24719,nonenhancing,enhancement pattern
24720,trunk of left tibial nerve,trunk of tibial nerve
24721,subscapular vein,tributary of axillary vein
24722,anterior superior renal segment of left kidney,anterior superior renal segment
24723,segment of C6 root of lateral pectoral nerve,segment of root of lateral pectoral nerve
24724,external granular layer of left Brodmann area 20,external granular layer of Brodmann area 20
24725,superficial layer of proximal nail fold of right little toe,superficial layer of proximal nail fold of little toe
24726,RID12961,Obsolete Radlex Term
24727,oblong fovea of arytenoid cartilage,zone of arytenoid cartilage
24728,anterosuperior zone of greater tubercle of humerus,zone of epiphysis
24729,upper subscapular nerve branch of posterior division of anterior ramus of fifth cervical nerve,branch of posterior division of anterior ramus of fifth cervical nerve
24730,transverse branch of meningeal branch of left eleventh thoracic nerve,transverse branch of meningeal branch of eleventh thoracic nerve
24731,segment of fusiform gyrus,segment of gyrus of brain
24732,RID12524,Obsolete Radlex Term
24733,facet region of lateral condyle of right tibia,facet region of lateral condyle of tibia
24734,right upper lobe artery,upper lobar artery
24735,external surface of rectum,surface of rectum
24736,nerve to interspinalis lumborum,nerve to interspinales muscle
24737,left vestibulocerebellar tract,vestibulocerebellar tract
24738,area of interest,imaging procedure descriptor
24739,area of origin of left medial patellotibial ligament,area of origin of medial patellotibial ligament
24740,medial intercondylar eminence of tibia,tibial intercondylar eminence
24741,metaphysis of left third metatarsal bone,metaphysis of third metatarsal bone
24742,t7 segment of right lateral gray column of spinal cord,t7 segment of lateral gray column of spinal cord
24743,fibroepithelial neoplasm,neoplasm
24744,peripheral segment of coccygeal spinal nerve,peripheral segment of spinal nerve
24745,J-tube placement,tube insertion
24746,superficial layer of proximal nail fold of left big toe,superficial layer of proximal nail fold of big toe
24747,gray communicating ramus of middle cervical ganglion to fifth cervical spinal nerve,lateral branch of middle cervical ganglion
24748,RID7401,Obsolete Radlex Term
24749,trunk of cremaster muscle branch of genital branch of genitofemoral nerve,trunk of genital branch of genitofemoral nerve
24750,white communicating ramus of right eleventh intercostal nerve,white communicating ramus of eleventh intercostal nerve
24751,polyostotic fibrous dysplasia,bone disorder
24752,calcaneal plate,orthopedic plate
24753,posterior root of left twelfth thoracic nerve,posterior root of twelfth thoracic nerve
24754,nerve to right fifth interspinalis cervicis,nerve to fifth interspinalis cervicis
24755,tectopontine tract,tract of brain
24756,neural network of left side of heart,neural network of organ part
24757,lumen of subdivision of inferior minor calyx,lumen of segment of minor calyx
24758,precentral sulcus,subarachnoid sulcus
24759,single interpretation,image interpretation mode
24760,anterior compartment of right arm,anterior compartment of arm
24761,subdivision of cavity of stomach,organ cavity subdivision
24762,gray matter of opercular part of inferior frontal gyrus,gray matter of segment of inferior frontal gyrus of frontal lobe
24763,c5 branch to left iliocostalis cervicis,c5 branch to iliocostalis cervicis
24764,vaginal branch of left inferior rectal nerve,vaginal branch of inferior rectal nerve
24765,vascular calcification,typically benign calcification
24766,branch of left posterior ethmoidal nerve to left sphenoidal sinus,branch of posterior ethmoidal nerve to sphenoidal sinus
24767,lateral cord segment of C6 root of left musculocutaneous nerve,lateral cord segment of C6 root of musculocutaneous nerve
24768,primary patency,patency
24769,cor pulmonale,heart disease
24770,tendon of abductor digiti minimi of right hand,tendon of abductor digiti minimi of hand
24771,medial branch of posterior ramus of left third sacral nerve,medial branch of posterior ramus of third sacral nerve
24772,granular cell myoblastoma,neuroepitheliomatous neoplasm
24773,tonsil of cerebellum,segment of cerebellum
24774,peripheral segment of femoral nerve,peripheral segment of peripheral nerve
24775,Optiray,ioversol
24776,pleural branch of left ninth intercostal nerve,pleural branch of ninth intercostal nerve
24777,marginal mandibular branch of facial nerve,branch of facial nerve
24778,anterolateral corticospinal tract of spinal cord,tract of spinal cord
24779,white matter of alar central lobule,white matter of segment of cerebellum
24780,t12 segment of marginal zone of left dorsal gray column of spinal cord,t12 segment of marginal zone of dorsal gray column of spinal cord
24781,peritrigeminal nucleus,nucleus of medulla oblongata
24782,lingual branch of glossopharyngeal nerve to postsulcal part of tongue,lingual branch of glossopharyngeal nerve
24783,muscle layer of abdominal part of left ureter,muscle layer of abdominal part of ureter
24784,lateral cutaneous branch of medial branch of posterior ramus of seventh thoracic nerve,lateral cutaneous branch of medial branch of posterior ramus of thoracic nerve
24785,RID39148,Obsolete Radlex Term
24786,lateral cutaneous branch of eighth intercostal nerve,lateral cutaneous branch of intercostal nerve
24787,medial proper palmar digital branch of median nerve to middle finger,third proper palmar digital nerve
24788,extra-articular segment of tendon of long head of biceps brachii,segment of tendon of long head of biceps brachii
24789,lobule of insula,segment of cerebral lobe
24790,myocardium,muscle layer of organ
24791,region of external surface of thoracic part of esophagus,region of organ surface
24792,hypoperfusion,perfusion disorder
24793,fourth lumbar ganglion,lumbar ganglion
24794,s4 segment of right lateral corticospinal tract,s4 segment of lateral corticospinal tract
24795,eleventh thoracic spinal ganglion,thoracic spinal ganglion
24796,trunk of labium minus branch of posterior labial nerve,trunk of branch of posterior labial nerve
24797,white matter of right posterior quadrangular lobule,white matter of posterior quadrangular lobule
24798,left popliteomeniscal fascicle,popliteomeniscal fascicle
24799,posterior auricular nerve,branch of facial nerve
24800,sacrospinous ligament,vertebropelvic ligament
24801,t9 segment of marginal zone of dorsal gray column of spinal cord,thoracic subsegment of marginal zone of dorsal gray column of spinal cord
24802,right nucleus prepositus,nucleus prepositus
24803,right Brodmann area 46,Brodmann area 46
24804,lamina propria of zone of small intestine,lamina propria
24805,c7 segment of cuneate fasciculus of spinal cord,cervical subsegment of cuneate fasciculus of spinal cord
24806,region of wall of orbit,subdivision of skeletal system
24807,pectoralis major muscle branch of right lateral thoracic artery,pectoralis major muscle branch of lateral thoracic artery
24808,medial proper palmar digital branch of median nerve to thumb,proper palmar pollicis digital nerve
24809,diaphysis proper of right ulna,diaphysis proper of ulna
24810,extraperitoneal compartment,subdivision of abdominal compartment
24811,internal pyramidal layer of right cerebral cortex,internal pyramidal lamina of cerebral cortex
24812,spinal fusion,arthrodesis
24813,lobule II of vermis,lobule of vermis
24814,polar part of right inferior occipital gyrus,polar part of inferior occipital gyrus
24815,multilaminar epithelium,portion of epithelium
24816,Van Neck disease,osteonecrosis
24817,region of retroperitoneal space,body cavity subdivision
24818,median nerve,peripheral nerve
24819,right pectineus,pectineus muscle
24820,pole of right insula,pole of insula
24821,nerve to tenth thoracic intertransversarius,nerve to thoracic intertransversarius
24822,loop of Henle,region of renal tubule
24823,jet flow,flow velocity elevated
24824,ascending vasa recta,tributary of renal vein
24825,adventitia of abdominal part of left ureter,adventitia of abdominal part of ureter
24826,left bundle branch block,arrhythmia artifact
24827,brodmann area 21 of inferior temporal gyrus,segment of Brodmann area 21
24828,first medial lumbar intertransversarius,medial lumbar intertransversarius
24829,optic recess of third ventricle,subdivision of cavity of third ventricle
24830,root trunk of inferior division of lateral root of right median nerve,root trunk of inferior division of lateral root of median nerve
24831,spinal part of left deltoid,spinal part of deltoid
24832,surface of head of humerus,surface of region of humerus
24833,palmar radiocarpal ligament,ligament of wrist joint
24834,lateral cutaneous branch of left eleventh intercostal nerve,lateral cutaneous branch of eleventh intercostal nerve
24835,target sign of lung,imaging sign
24836,plexiform layer of Brodmann area 47,lamina of Brodmann area 47
24837,muscular branch of fifth intercostal nerve,muscular branch of intercostal nerve
24838,muscle body of vastus medialis,skeletal muscle body
24839,tentorial marginal branch of left internal carotid artery,tentorial marginal branch of internal carotid artery
24840,left bending position,bending position
24841,G--tube to G-J tube conversion,device conversion
24842,medial pectoral nerve component of trunk of anterior ramus of left first thoracic nerve,medial pectoral nerve component of trunk of anterior ramus of first thoracic nerve
24843,device revision,object manipulation
24844,left cuneate nucleus of spinal cord,cuneate nucleus of spinal cord
24845,brodmann area 2 of right postcentral gyrus,brodmann area 2 of postcentral gyrus
24846,ventral posterior nucleus,nucleus of brain
24847,medial branch of inferior hypophyseal artery,branch of inferior hypophyseal artery
24848,urography,imaging procedure
24849,head of humerus,zone of humerus
24850,anterolateral band of right posterior cruciate ligament,anterolateral band of posterior cruciate ligament
24851,iodixanol,non-ionic iso-osmolar dimeric iodinated contrast agent
24852,V1 segment of vertebral artery,segment of vertebral artery
24853,inferior branch of oculomotor nerve,branch of oculomotor nerve
24854,medial root trunk of left median nerve,medial root trunk of median nerve
24855,RID7388,Obsolete Radlex Term
24856,RID654,Obsolete Radlex Term
24857,articular cartilage of middle calcaneal facet,articular cartilage
24858,splenic venous sinusoid,tributary of splenic vein
24859,communicating branch of first intercostal nerve,communicating branch of intercostal nerve
24860,incomplete ring sign of vertebra,imaging sign
24861,parvicellular nucleus of solitary tract,nucleus of solitary tract
24862,pachygyria,ectopic tissue
24863,lateral cutaneous branch of medial branch of posterior ramus of left tenth thoracic nerve,lateral cutaneous branch of medial branch of posterior ramus of tenth thoracic nerve
24864,ileal lymph node,mesenteric lymph node
24865,intersubstance tear,tear
24866,ferric ammonium citrate,paramagnetic agent
