id,parentId
branch of common cochlear artery,branch of labyrinthine artery
left primary motor cortex,primary motor cortex
periductal stroma of prostatic gland,region of prostatic stroma
sulcal segment of gyrus of right cingulate gyrus,sulcal segment of gyrus of cingulate gyrus
adventitia of subdivision of major calyx,adventitia of region of ureter
l4 root of left obturator nerve,l4 root of obturator nerve
ulnar recurrent artery,branch of ulnar artery
pericardial branch of right musculophrenic artery,pericardial branch of musculophrenic artery
RID28872,Obsolete Radlex Term
central segment of left great auricular nerve,central segment of great auricular nerve
lateral tectobulbar tract,tract of brain
third occipital nerve,branch of posterior ramus of third cervical nerve
external granular layer of cerebral cortex,lamina of cerebral cortex
cervical segment of spinal dura mater,subdivision of spinal dura mater
anterior surface of supraspinal part of body of left scapula,anterior surface of supraspinal part of body of scapula
facet region of medial condyle of tibia,facet region of condyle of tibia
subareolar region of right breast,subareolar region of breast
intervertebral disc degeneration,spine degeneration
facet block,procedure
t12 segment of right ventral gray column of spinal cord,t12 segment of ventral gray column of spinal cord
lateral cutaneous branch of medial branch of posterior ramus of left ninth thoracic nerve,lateral cutaneous branch of medial branch of posterior ramus of ninth thoracic nerve
ciliary muscle,intraocular muscle
external surface of left uterine tube,external surface of uterine tube
selenium,chemical element
muscle layer of right uterine tube,muscle layer of uterine tube
right flexor digitorum profundus,flexor digitorum profundus muscle
left greater occipital nerve,greater occipital nerve
anteromedial band of left anterior cruciate ligament,anteromedial band of anterior cruciate ligament
kyphosis,curvature malposition
nail bed of left big toe,nail bed of big toe
thallium,chemical element
medial pectoral nerve component of trunk of left first thoracic nerve,medial pectoral nerve component of trunk of first thoracic nerve
long posterior sacroiliac ligament,posterior sacroiliac ligament
white matter of left short insular gyrus,white matter of short insular gyrus
branch of posterior muscular branch of left radial nerve to medial head of left triceps brachii,branch of posterior muscular branch of radial nerve to medial head of triceps brachii
central segment of nerve to right sternocleidomastoid,central segment of nerve to sternocleidomastoid
multiform layer of left Brodmann area 40,multiform layer of Brodmann area 40
known,certainty descriptor
superior subscapular nerve component of posterior root of fifth cervical nerve,segment of C5 root of superior subscapular nerve
pneumoconiosis,respiratory disorder
black pleura sign,imaging sign
nerve to right ninth internal intercostal muscle,nerve to ninth internal intercostal muscle
stem of temporal lobe,white matter of telencephalon
surface of right coraco-acromial ligament,surface of coraco-acromial ligament
branch of left mylohyoid nerve to anterior belly of left digastric,branch of mylohyoid nerve to anterior belly of digastric
interstitial nucleus of vestibular nerve,nucleus of brain
neural network of organ,neural network
nerve to antitragicus,branch of temporal branch of facial nerve
posterior ramus of right third sacral nerve,posterior ramus of third sacral nerve
hypersensitivity angiitis,arteritis
brodmann area 47 of right insula,brodmann area 47 of insula
RID9519,Obsolete Radlex Term
neural network of left lobe of prostate,neural network of lobe of prostate
left segment of caudate lobe of liver,subsegment of caudate lobe of liver
sacral subsegment of spinal cord,segment of spinal cord
fourth digit,digit
lumen with a lumen sign,imaging sign
supramammillary nucleus,nucleus of hypothalamus
cutaneous branch of lateral branch of posterior ramus of left ninth thoracic nerve,cutaneous branch of lateral branch of posterior ramus of ninth thoracic nerve
branch of eighth intercostal nerve to transversus abdominis,muscular branch of eighth intercostal nerve
vastus medialis muscle,zone of quadriceps femoris
medial pectoral nerve component of trunk of anterior division of anterior ramus of right first thoracic nerve,medial pectoral nerve component of trunk of anterior division of anterior ramus of first thoracic nerve
pyelitis cystica,pyelitis
left inferior alveolar nerve,inferior alveolar nerve
right commissural nucleus of spinal cord,commissural nucleus of spinal cord
t10 segment,thoracic subsegment of spinal cord
ependymal cyst,cyst
neural network of skeletal system,neural network of subdivision of musculoskeletal system
right primary auditory cortex,primary auditory cortex
zygomatic margin of sphenoid bone,anatomical line of bone
surface of segment of telencephalon,surface of segment of forebrain
long head of right biceps femoris,long head of biceps femoris muscle
portal triad subsegment,subsegment of liver
spinal branch of lumbar artery,branch of lumbar artery
clavicular branch of right internal thoracic artery,clavicular branch of internal thoracic artery
T1/T2,thoracic intervertebral level
superior anterior division segment of C5 root of left median nerve,superior anterior division segment of C5 root of median nerve
PACS error,image acquisition error
anterodorsal nucleus,nucleus of thalamus
l5 anterior division of left lumbar plexus,l5 anterior division of lumbar plexus
oral airway,tube
inferior epigastric lymph node,parietal lymph node of abdomen proper
reverse rim sign,imaging sign
muscular branch of lateral branch of dorsal branch of right first lumbar artery,muscular branch of lateral branch of dorsal branch of first lumbar artery
mucosa of rectum,mucosa of segment of large intestine
posterior fascicle of palatopharyngeus muscle,zone of palatopharyngeus muscle
medial pectoral nerve component of trunk of anterior ramus of eighth cervical nerve,segment of C8 root of medial pectoral nerve
ventral part of central lobule,subdivision of central lobule
trunk of right median nerve,trunk of median nerve
left coracobrachialis,coracobrachialis muscle
mucosa of region of jejunum,mucosa of zone of small intestine
rectus capitus posterior major muscle,suboccipital muscle
lateral angle of eye,anatomical line
anterior rootlet of right third thoracic nerve,anterior rootlet of third thoracic nerve
s3 segment of right lateral corticospinal tract,s3 segment of lateral corticospinal tract
mesentery of small intestine,peritoneal mesentery
initial enhancement phase,enhancement phase
notch of spleen,region of surface of spleen
trunk of upper branch of left internal laryngeal nerve to laryngeal vestibule,trunk of upper branch of internal laryngeal nerve to laryngeal vestibule
right lateral geniculate body,lateral geniculate nucleus
branch of dental nerve plexus,branch of nerve plexus
t6 branch to left iliocostalis thoracis,t6 branch to iliocostalis thoracis
inferior mesenteric lymphatic vessel,pre-aortic lymphatic vessel
articular capsule of right knee joint,articular capsule of knee joint
quadratus femoris muscle,skeletal muscle of gluteal region
aggressive,aggressiveness descriptor
root of splenorenal ligament,root of mesentery
terminal sulcus of tongue,anatomical line
trunk of branch of femoral nerve,trunk of branch of lumbar nerve plexus
dorsal nucleus of left vagus nerve,dorsal nucleus of vagus nerve
middle transverse fold of rectum,transverse fold of rectum
corticopontine tract,tract of brain
neural tissue of L5 segment of spinal cord,neural tissue of lumbar subsegment of spinal cord
trunk of left greater petrosal nerve,trunk of greater petrosal nerve
rootlet of spinal nerve,nerve rootlet
vasculature of back of abdomen,vasculature of region of trunk
septum of endoabdominal fascia,zone of endoabdominal fascia
internal granular layer of Brodmann area 23,lamina of Brodmann area 23
distal end of left femur,distal end of femur
gray matter of right gyrus descendens of Ecker,gray matter of gyrus descendens of Ecker
trunk of branch of left external laryngeal nerve to pharyngeal nerve plexus,trunk of branch of external laryngeal nerve to pharyngeal nerve plexus
proximal myotendinous region of medial head of left gastrocnemius,proximal myotendinous region of medial head of gastrocnemius
proximal epiphysis of proximal phalanx of left index finger,proximal epiphysis of proximal phalanx of index finger
right ulnar artery,ulnar artery
right middle macular vein,middle macular venule
lateral head of fourth dorsal interosseous of left hand,lateral head of fourth dorsal interosseous of hand
liquid,composition descriptor
trunk of left cochlear nerve,trunk of cochlear nerve
subdivision of trigonal muscle of urinary bladder,subdivision of muscle layer of urinary bladder
intra-articular segment of tendon of long head of biceps brachii,segment of tendon of long head of biceps brachii
t7 branch to right multifidus,t7 branch to multifidus
medial segment of parietal lobe,segment of parietal lobe
superior vermian branch of medial branch of left superior cerebellar artery,superior vermian branch of medial branch of superior cerebellar artery
cerebellar peduncle,peduncle of neuraxis
terminal part of left brachial artery,terminal part of brachial artery
k-space dimensionality,MR procedure attribute
segment of skeletal ligament,organ segment
area of origin of left trapezoid ligament,area of origin of trapezoid ligament
l5 segment of right dorsal gray column of spinal cord,l5 segment of dorsal gray column of spinal cord
pyramidal decussation segment of right corticospinal tract,pyramidal decussation segment of corticospinal tract
right medial longitudinal fasciculus of pons,medial longitudinal fasciculus of pons
branch of left musculocutaneous nerve to long head of left biceps brachii,branch of musculocutaneous nerve to long head of biceps brachii
white matter of right paraterminal gyrus,white matter of paraterminal gyrus
homogeneous marked T2 hyperintensity,T2 hyperintensity
surface papilla,region of organ component
vestibulocochlear organ,heterogeneous anatomical cluster
sphincter urethrovaginalis branch of perineal nerve,muscular branch of perineal nerve
trunk of quadriceps femoris branch of left femoral nerve,trunk of quadriceps femoris branch of femoral nerve
gray matter of left anterior short insular gyrus,gray matter of anterior short insular gyrus
second dorsal digital branch of radial nerve,dorsal digital branch of radial nerve to thumb
medial compartment of thigh,compartment of free lower limb
branch of musculocutaneous nerve,branch of peripheral nerve
aortopulmonary window,infra-aortic area
lateral dorsal digital nerve of fourth toe,fourth dorsal digital nerve
muscle layer of right hepatic duct,region of muscle layer of biliary tree
l1 segment of left dorsal gray column of spinal cord,l1 segment of dorsal gray column of spinal cord
ventral corticospinal tract of spinal cord,tract of spinal cord
anterior body wall of female human body,anterior body wall
thoracic segment of female trunk,thoracic segment of trunk
musculocutaneous nerve,peripheral nerve
bulbospongiosus branch of right perineal nerve,bulbospongiosus branch of perineal nerve
surface proper of right sartorius,surface proper of sartorius
proximal myotendinous region of long head of left biceps brachii,proximal myotendinous region of long head of biceps brachii
superior region of left breast,superior region of breast
destruction pattern,imaging observation
deep part of palpebral part of orbicularis oculi muscle,zone of palpebral part of orbicularis oculi
l1 segment of substantia gelatinosa,lumbar subsegment of substantia gelatinosa
ligament of naviculocuneiform joint,ligament of lower limb
supraclavicular part of left brachial nerve plexus,supraclavicular part of brachial nerve plexus
trunk of left radial nerve,trunk of radial nerve
variant ansa thyroidea,branch of middle cervical ganglion
tissue component of lamellar bone,cardinal tissue part
musculocutaneous nerve component of trunk of left seventh cervical nerve,musculocutaneous nerve component of trunk of seventh cervical nerve
RID7402,Obsolete Radlex Term
posterior division of right first intercostal nerve,posterior division of first intercostal nerve
hypothalamohypophysial tract,tract of diencephalon
pontine vein,vein of brainstem
articular segment of lateral condyle of femur,zone of lateral condyle of femur
segment of median nerve nucleus of dorsal column,segment of median nerve nucleus of spinal cord
subgenual frontal cortex,region of cortex of frontal lobe
triangular fossa of antihelix,surface of pinna
subdivision of nucleus of neuraxis,subcortical gray matter
trunk of left fifth intercostal nerve,trunk of fifth intercostal nerve
eventration,motor dysfunction
c6 branch to left longissimus cervicis,c6 branch to longissimus cervicis
fourth interspinalis lumborum,interspinalis lumborum
step and shoot data acquisition mode,nuclear imaging data acquisition mode
postganglionic segment of posterior root of left fourth lumbar spinal nerve,postganglionic segment of posterior root of fourth lumbar spinal nerve
superior frontal sulcus,subarachnoid sulcus
mucosa of anterior intermediate minor calyx,mucosa of subdivision of intermediate minor calyx
multiform layer of right Brodmann area 15,multiform layer of Brodmann area 15
surface of ovary,surface of organ
varus deformity,malalignment
neuroglial network of white matter of coccygeal segment of spinal cord,neuroglial network of white matter of segment of spinal cord
dura mater of posterior rootlet of right twelfth thoracic nerve,dura mater of posterior rootlet of twelfth thoracic nerve
brodmann area 9 of superior frontal gyrus,segment of Brodmann area 9
coeliac branch of posterior vagal trunk,branch of posterior vagal trunk
continuous table to detector-head translation,table-to-detector-head translation
fusion plate,orthopedic plate
right superior olivary nucleus,superior olivary nucleus
right psoas major,psoas major muscle
trunk of second intercostal nerve,trunk of intercostal nerve
set of caroticotympanic nerves,set of nerves
intrapleural,anatomically-related descriptor
cavernous plexus of turbinate,nerve plexus
left interspinalis thoracis,interspinalis thoracis
superior labial vein,tributary of facial vein
coarse heterogeneous,morphologic descriptor
brodmann area 4 of posterior segment of left paracentral lobule,brodmann area 4 of posterior segment of paracentral lobule
set of anterior cutaneous branches of femoral nerve,set of nerves
postganglionic segment of posterior root of first lumbar spinal nerve,postganglionic segment of posterior root of lumbar spinal nerve
trunk of vaginal branch of right inferior rectal nerve,trunk of vaginal branch of inferior rectal nerve
dilation and curettage,uterus surgery
posterior zone of neck of scapula,zone of neck of scapula
inferior labial branch of facial artery,branch of facial artery
ligament of lower limb,ligament of limb
root of fourth sacral nerve,root of sacral nerve
mechanical thrombectomy,thrombectomy
stroma of right ovary,ovarian stroma
skin of dorsum of foot,subdivision of skin of free lower limb
neuroglial network of T6 segment of spinal cord,neuroglial network of thoracic subsegment of spinal cord
external pyramidal layer of right Brodmann area 22,external pyramidal layer of Brodmann area 22
t10 segment of left lateral gray column of spinal cord,t10 segment of lateral gray column of spinal cord
duodenum,organ segment
dura mater of anterior root of left seventh thoracic nerve,dura mater of anterior root of seventh thoracic nerve
vein of semicircular duct,tributary of vein of vestibular aqueduct
orifice of stomach,anatomical orifice
RID1873,Obsolete Radlex Term
zone of flexor digitorum superficialis,zone of muscle organ
peripheral segment of fourth cervical spinal nerve,peripheral segment of cervical spinal nerve
circumferential enhancement,enhancement pattern
mucosa of right anterior inferior minor calyx,mucosa of anterior inferior minor calyx
external pyramidal layer of left Brodmann area 16,external pyramidal layer of Brodmann area 16
multiform layer of left Brodmann area 22,multiform layer of Brodmann area 22
fourth dorsal digital branch of right radial nerve,fourth dorsal digital branch of radial nerve
c6 branch to right splenius capitis,c6 branch to splenius capitis
mesentery of zone of small intestine,peritoneal mesentery
tendon of long head of left biceps femoris,tendon of long head of biceps femoris
endopyelotomy,ureter surgery
left mammillary artery,mammillary artery
right glenoid labrum,glenoid labrum
pharyngeal branch of left recurrent laryngeal nerve,pharyngeal branch of recurrent laryngeal nerve
lateral pectoral nerve branch of anterior division of anterior ramus of left sixth cervical nerve,lateral pectoral nerve branch of anterior division of anterior ramus of sixth cervical nerve
root of seventh cervical nerve,root of cervical nerve
seminal colliculus,region of urethral crest (male)
serendipity view,imaging view
lateral head of third dorsal interosseous of hand,head of third dorsal interosseous of hand
left subdeltoid bursa,subdeltoid bursa
left superior semilunar lobule,superior semilunar lobule
nerve to extensor carpi ulnaris,branch of posterior interosseous nerve
segment of artery,segment of arterial tree organ
endolymphatic sac tumor,neoplasm
deep layer of proximal nail fold of left big toe,deep layer of proximal nail fold of big toe
medial brachial cutaneous nerve component of inferior trunk segment of first thoracic nerve,segment of root of medial brachial cutaneous nerve
recurrent branch of common peroneal nerve,branch of common peroneal nerve
subserosa of anterior wall of duodenum,subserosa of zone of duodenum
left subscapularis,subscapularis muscle
RID27563,Obsolete Radlex Term
blood disease,body-system-specific disorder
proximal part of diaphysis of left humerus,proximal part of diaphysis of humerus
skin of sole of left foot,skin of sole of foot
frontal eye fields,region of cerebral cortex
ascending branch of meningeal branch of left tenth thoracic nerve,ascending branch of meningeal branch of tenth thoracic nerve
branch of suprascapular nerve to acromioclavicular joint joint,branch of suprascapular nerve
whole body,body region
quadrant,anatomic sub-part
anteromedian medullary vein,vein of medulla oblongata
astrocytoma WHO grade II,astrocytoma
triangular fovea of arytenoid cartilage,zone of arytenoid cartilage
root of right third cervical nerve,root of third cervical nerve
wall of collicular part of prostatic urethra,region of wall of prostatic part of urethra
RID12877,Obsolete Radlex Term
RID12971,RID12964
isthmus of cartilaginous auricle,organ zone
trunk of cervical branch of right facial nerve,trunk of cervical branch of facial nerve
eponychium of right third toe,eponychium of third toe
trunk of left lateral femoral cutaneous nerve,trunk of lateral femoral cutaneous nerve
c8 dorsal column nucleus of right median nerve,c8 dorsal column nucleus of median nerve
medial surface of medial scalenus medius,region of surface of scalenus medius
ventral posterolateralal nucleus,ventrolateral nucleus
medial supraclavicular nerve,branch of supraclavicular nerve
posterior segment of right uncus,posterior segment of uncus
ureteral fold,peritoneal fold
suprascapular nerve component of trunk of anterior ramus of sixth cervical nerve,segment of C6 root of suprascapular nerve
infectious complication,complication
pre-brachial plexus segment of T1 component of median nerve,segment of medial root of median nerve
superior pubic ramus,zone of pubis
c6 root of left lower subscapular nerve,c6 root of inferior subscapular nerve
neural network of bony part of first metatarsal bone,neural network of bony part of metatarsal bone
otitis externa,otitis
inverted U sign,imaging sign
right infracolic space,subdivision of infracolic space
4 o’clock position,clock face position
branch of anterior ramus of second sacral nerve,branch of anterior ramus of sacral nerve
parrot beak tear,tear
adventitia of right superior major calyx,adventitia of superior major calyx
medial surface of right cerebral hemisphere,medial surface of cerebral hemisphere
communicating branch of auricular branch of right vagus nerve with right facial nerve,communicating branch of auricular branch of vagus nerve with facial nerve
recording electrode,electrode
lateral branch of posterior ramus of left second sacral nerve,lateral branch of posterior ramus of second sacral nerve
carcinoma,epithelial neoplasm
cardiac tamponade,heart disease
mandible,irregular bone
communicating branch of left glossopharyngeal nerve with left chorda tympani,communicating branch of glossopharyngeal nerve with chorda tympani
trunk of branch of right recurrent laryngeal nerve to right lateral crico-arytenoid,trunk of branch of recurrent laryngeal nerve to lateral crico-arytenoid
posterior long insular gyrus,long insular gyrus
posterior cord segment of C6 root of inferior subscapular nerve,segment of C6 root of inferior subscapular nerve
hyperperfusion,perfusion disorder
polymicrogyria,ectopic tissue
branch of anterior ramus of sacral nerve,branch of anterior ramus of spinal nerve
anatomical line of long bone,anatomical line of bone
central segment of fourth thoracic spinal nerve,central segment of thoracic spinal nerve
inferior orbital vein,inferior cerebral vein
endocardium,tunica intima
inferior posterior division of brachial plexus,posterior division of brachial plexus
dorsal thoracic nucleus,segment of dorsal gray column of spinal cord
circumaortic,anatomically-related descriptor
neural network of bony part of left fourth metatarsal bone,neural network of bony part of fourth metatarsal bone
inferior subscapular nerve component of trunk proper of anterior ramus of fifth cervical nerve,segment of C5 root of inferior subscapular nerve
clover-leaf skull,imaging sign
persistent embryonic trigeminal artery,vascular disorder
nerve to right fourth medial lumbar intertransversarius,nerve to fourth medial lumbar intertransversarius
caudate lobe branch of right hepatic artery,subdivision of right hepatic artery
left second lateral lumbar intertransversarius,second lateral lumbar intertransversarius
surface of superior transverse scapular ligament,surface of ligament
pre-brachial plexus segment of C5 component of median nerve,segment of lateral root of median nerve
left deep transverse metacarpal ligament,deep transverse metacarpal ligament
right coccygeal spinal ganglion,coccygeal spinal ganglion
malignant otitis externa,otitis externa
plexiform layer of left Brodmann area 48,plexiform layer of Brodmann area 48
head region of muscle body of right rectus femoris,head region of muscle body of rectus femoris
transverse occipital sulcus,subarachnoid sulcus
Harris view,named imaging view
drowned hilus sign,imaging sign
iliac fascia,zone of dense endoabdominal fascia
left uncus,uncus
soft,elasticity descriptor
carpal sign,imaging sign
suspicious calcification,calcification
thick wall sign,imaging sign
superior angle of left scapula,superior angle of scapula
right fourth medial lumbar intertransversarius,fourth medial lumbar intertransversarius
vagal reaction complication,cardiovascular complication
ulnar deviation position,deviation position
adductor hallucis muscle,skeletal muscle of plantar foot
internal granular layer of right Brodmann area 47,internal granular layer of Brodmann area 47
zone of dense endoabdominal fascia,zone of endoabdominal fascia
nucleus of abducens nerve,nucleus of cranial nerve
early venous phase,venous phase
gray ramus communicans from superior cervical ganglion to anterior ramus of second cervical nerve,branch of anterior ramus of second cervical nerve
median nerve nucleus of dorsal column,median nerve nucleus of spinal cord
s4 segment of left dorsal funiculus of spinal cord,s4 segment of dorsal funiculus of spinal cord
RID6723,Obsolete Radlex Term
internal pyramidal layer of right Brodmann area 30,internal pyramidal layer of Brodmann area 30
adventitia of esophagus,adventitia of organ
preganglionic segment of posterior root of right sixth cervical spinal nerve,preganglionic segment of posterior root of sixth cervical spinal nerve
patchy,distribution pattern
coronoid process of ulna,process of bone
t12 segment of right nucleus proprius of spinal cord,t12 segment of nucleus proprius of spinal cord
fibular bursa,synovial bursa of lower limb
proximal epiphysis of middle phalanx of right index finger,proximal epiphysis of middle phalanx of index finger
trunk of infrapatellar branch of right saphenous nerve,trunk of infrapatellar branch of saphenous nerve
branch of lower deep buccal branch of facial nerve to orbicularis oris,branch of lower deep buccal branch of facial nerve
scalenus minimus,scalene muscle
nerve block,procedure
muscle body of flexor carpi ulnaris,muscle body of muscle of forearm
Brodmann area 5,brodmann area
t1 branch to left iliocostalis thoracis,t1 branch to iliocostalis thoracis
clinical crown of tooth,part of tooth
space of posterior compartment of thigh,space of compartment of lower limb
common bony limb,subdivision of bony labyrinth
left olivospinal tract of spinal cord,olivospinal tract of spinal cord
partially solid,solidness descriptor
subdivision of surface of head proper,surface of subdivision of principal body part
descending branch of meningeal branch of left seventh thoracic nerve,descending branch of meningeal branch of seventh thoracic nerve
t6 branch to right iliocostalis lumborum,t6 branch to iliocostalis lumborum
nodule,lesion
sacral segment of left dorsal funiculus of spinal cord,sacral segment of dorsal funiculus of spinal cord
lumbar lymphatic trunk,trunk of lymphatic tree organ part
phthisis bulbi,degeneration
parvicellular reticular nucleus,nucleus of medulla oblongata
right side of female chest,right side of chest
between sections interpolation,interpolation
sulcus sclerae,anatomical line of eyeball
medial C2 branch to left semispinalis capitis,medial C2 branch to semispinalis capitis
left proximal medial striate artery,proximal medial striate artery
surface of left pectoralis minor muscle,surface of pectoralis minor muscle
muscle body of left triceps brachii,muscle body of triceps brachii
delay code,workflow term
eosinophilic cholangitis,cholangitis
RID6972,Obsolete Radlex Term
distal epiphysis of distal phalanx of ring finger,distal epiphysis of phalanx of ring finger
thoracic segment of left dorsal gray column of spinal cord,thoracic segment of dorsal gray column of spinal cord
articular cartilage of lateral facet of femoral trochlea,articular cartilage of subdivision of epiphysis of femur
MR reconstruction filtering,MR primary reconstruction step
t1 branch to longissimus cervicis,muscular branch of lateral branch of posterior ramus of first thoracic nerve
straight head of left rectus femoris,straight head of rectus femoris
set of cells,anatomical set
descending branch of meningeal branch of fourth thoracic nerve,descending branch of meningeal branch of thoracic nerve
meningeal branch of right sixth thoracic nerve,meningeal branch of sixth thoracic nerve
left lateral pericuneate nucleus,lateral pericuneate nucleus
hiatus for greater petrosal nerve,orifice of skull
t4 branch to left semispinalis capitis,t4 branch to semispinalis capitis
layer of right superior colliculus,zonal layer of superior colliculus
tract of neuraxis,segment of white matter of neuraxis
RID39166,measurement type
palmar branch of right ulnar nerve,palmar branch of ulnar nerve
white matter of temporal segment of left fusiform gyrus,white matter of temporal segment of fusiform gyrus
muscular branch of medial branch of posterior ramus of fourth cervical nerve,muscular branch of medial branch of posterior ramus of cervical nerve
right lower hemithorax,lower hemithorax
levator palpebrae superioris muscle,extraocular muscle
mesothelium of abdominal peritoneum,mesothelium of region of peritoneum
right first lumbar spinal ganglion,first lumbar spinal ganglion
superparamagnetic iron oxide,superparamagnetic contrast agent
s3 segment of right ventral gray column of spinal cord,s3 segment of ventral gray column of spinal cord
temporal segment of left fusiform gyrus,temporal segment of fusiform gyrus
external longitudinal muscle layer of left uterine tube,external longitudinal muscle layer of uterine tube
right occipital vein,occipital vein
posterior part of pelvirectal compartment,subdivision of abdominal compartment
s4 segment of dorsal funiculus of spinal cord,sacral subsegment of dorsal funiculus of spinal cord
t1 segment of cuneate fasciculus of spinal cord,thoracic subsegment of cuneate fasciculus of spinal cord
trunk of nerve to left scalenus medius,trunk of nerve to scalenus medius
subdivision of surface of clavicle,region of surface of bone organ
anterior part of pelvirectal space,body cavity subdivision
left abductor pollicis brevis,abductor pollicis brevis muscle
nucleus proprius of sacral segment of right dorsal gray column of spinal cord,nucleus proprius of sacral segment of dorsal gray column of spinal cord
c6 segment of anterior corticospinal tract,cervical subsegment of anterior corticospinal tract
axillary lymph node branch of left lateral thoracic artery,axillary lymph node branch of lateral thoracic artery
paralemniscal nucleus,nucleus of brain
lateral surface of surgical neck of humerus,surface of region of surgical neck of humerus
ligament of spine,skeletal ligament
distal tendon of extensor hallucis longus,extensor hallucis longus tendon
set of posterior superior lateral nasal branches of maxillary nerve,set of nerves
plantar fascia,fascia
proximal tendon of pronator teres,tendon of pronator teres
gender,patient descriptor
tendon of left extensor digitorum brevis,tendon of extensor digitorum brevis
inferior segment of right lingual gyrus,inferior segment of lingual gyrus
T3 tumor stage,T stage
l1 branch to right spinalis thoracis,l1 branch to spinalis thoracis
surface of distal epiphysis of left humerus,surface of distal epiphysis of humerus
c2 segment of right anterior corticospinal tract,c2 segment of anterior corticospinal tract
extraaxial,head location descriptor
left inferior thalamic peduncle,inferior thalamic peduncle
frontomarginal gyrus,gyrus of frontal lobe
surface of ascending part of duodenum,surface of subdivision of duodenum
right superior salivatory nucleus,superior salivatory nucleus
uncertain,certainty descriptor
belly of left flexor digitorum accessorius,belly of flexor digitorum accessorius
circular muscle layer of cardia of stomach,circular muscle layer of zone of stomach
intermediate nail matrix of third toe,intermediate nail matrix of toe
surface of appendix,surface of organ
right abductor pollicis longus,abductor pollicis longus
l2 segment of left nucleus proprius of spinal cord,l2 segment of nucleus proprius of spinal cord
area of attachment for anterior horn of left medial meniscus,area of attachment for anterior horn of medial meniscus
middle gray layer of left superior colliculus,middle gray layer of superior colliculus
left infraspinous fossa,infraspinous fossa
visibility descriptor,imaging observation descriptor
t12 branch to spinalis thoracis,muscular branch of medial branch of posterior ramus of twelfth thoracic nerve
hamulus of spiral lamina,zone of osseous spiral lamina
lesion periphery,lesion characteristic
trunk of cutaneous branch of anterior branch of right obturator nerve,trunk of cutaneous branch of anterior branch of obturator nerve
branch of marginal mandibular branch of facial nerve,branch of facial nerve
determine device status,assessment procedure
radial nerve component of anterior root of left fifth cervical nerve,radial nerve component of anterior root of fifth cervical nerve
BillRejection,workflow term
PI-RADS X - T2WI TZ Inadequate or absent,PI-RADS T2WI TZ Lesion Assessment Category
tendon of right flexor digitorum longus,flexor digitorum longus tendon
right lateral basal segmental bronchus,lateral basal segmental bronchus
enteroenteric fistula,fistula
dura mater of anterior rootlet of right seventh cervical nerve,dura mater of anterior rootlet of seventh cervical nerve
spinal fixation device,spinal implant
anterior root of cervical nerve,anterior root of spinal nerve
multi-detector row configuration,CT detector configuration
right middle colic artery,subdivision of middle colic artery
reticulonodular pattern,spatial enhancement pattern
left posterior cruciate ligament,posterior cruciate ligament
esophageal intramural pseudodiverticulosis,esophagitis
internal pyramidal layer of Brodmann area 5,lamina of Brodmann area 5
c5 dorsal column nucleus of long thoracic nerve,segment of long thoracic nerve nucleus of dorsal column
right anterior deep temporal nerve,anterior deep temporal nerve
spinal segment of right posterior spinocerebellar tract,spinal segment of posterior spinocerebellar tract
neuronal component of T8 segment,neuronal component of thoracic subsegment of spinal cord
belly of clavicular part of left deltoid,belly of clavicular part of deltoid
articular branch of radial nerve to intercarpal joint,articular branch of radial nerve
posterior rootlet of second lumbar nerve,posterior rootlet of lumbar nerve
subserosa of zone of stomach,subserosa of organ region
trunk of fifth cervical nerve,trunk of cervical nerve
lingual canal of mandible,cranial conduit space
metaphysis of right fibula,metaphysis of fibula
c5 segment of marginal zone of dorsal gray column of spinal cord,cervical subsegment of marginal zone of dorsal gray column of spinal cord
vasculature of L1 segment of spinal cord,vasculature of lumbar subsegment of spinal cord
trunk of biceps femoris branch of sciatic nerve,trunk of muscular branch of sciatic nerve
body of calcaneus,zone of calcaneus
cervical spine descriptor,spinal segment descriptor
branch of inferior branch of ileocolic artery,branch of ileocolic artery
diaphysis of middle phalanx of right second toe,diaphysis of middle phalanx of second toe
submucosa of descending colon,submucosa of region of colon
branch of maxillary nerve,branch of trigeminal nerve
cystic lymph node,lymph node along bile duct
trunk of vascular branch of tibial nerve,trunk of branch of tibial nerve
localized transmit coil,transmit radiofrequency coil
transverse superior portion of pectoralis major muscle,zone of pectoralis major muscle
branch of right iliohypogastric nerve to right transversus abdominis,branch of iliohypogastric nerve to transversus abdominis
trunk of branch of posterior femoral cutaneous nerve to back of thigh and leg,trunk of branch of posterior femoral cutaneous nerve
external surface of cochlear duct,region of cochlear duct
neuronal component of C6 segment,neuronal component of cervical subsegment of spinal cord
semimembranosus-gastrocnemius recess,region of synovial membrane of knee
modality descriptor,Radlex descriptor
nerve to eleventh levator costae,muscular branch of lateral branch of posterior ramus of eleventh thoracic nerve
segment of ulnar nerve nucleus of spinal cord,segment of peripheral nerve nucleus
white matter of superior parietal lobule,white matter of gyrus of parietal lobe
vasculature of T3 segment of spinal cord,vasculature of thoracic subsegment of spinal cord
anterior part of angular gyrus,segment of angular gyrus
c7 dorsal column nucleus of left radial nerve,c7 dorsal column nucleus of radial nerve
rootlet of fifth sacral nerve,rootlet of sacral nerve
neuroepithelial cyst,cyst
posterior rootlet of right fifth lumbar nerve,posterior rootlet of fifth lumbar nerve
zone of temporal bone,zone of flat bone
anterior rootlet of right tenth thoracic nerve,anterior rootlet of tenth thoracic nerve
